f1,f2,f3,f4,f5,target
-272.45477653933153,468.61353614685095,-842.2866227239849,572.6957839653813,-687.8998947374705,0
-308.35383731605384,700.9435669794868,92.78446506322553,-80.49109736668265,-688.1273601170449,0
-274.6443384385649,1181.3844989679856,1743.7318991417012,353.0318733971755,-687.9533145107365,0
-270.3462579821962,620.2861594114054,937.7077941461275,312.27012894654894,-688.0116246031723,0
-289.4215206295859,825.6668227441784,197.1634817015679,195.13356287430028,-687.980375026469,0
-236.24540906111145,308.8814904992521,1009.9840158016434,1294.7003110465366,-687.8708701046133,0
-242.67940058023046,1314.4213187662167,-40.554787809741526,-428.05557619239255,-687.9031838832856,0
-271.2020350169205,270.68149778382224,23.692250599258728,-249.23072029318337,-687.9523749890035,0
-228.97986410532923,1317.2256625107098,911.1540486771889,495.5274270588467,-687.9786602585316,0
-274.4182933715265,195.05094299804705,1013.8113715152181,127.11599880580765,-687.9942975722336,0
-206.45688137599504,480.7326294039148,881.3855932380226,314.4533451699316,-688.0425787623053,0
-253.77676509609154,1357.138067925818,861.7856155707793,787.986419461141,-687.9366965115406,0
-123.81971197809172,470.34278307373023,264.6686886152104,173.27675594803156,-688.0718901012598,0
-211.62880828929508,1324.6184700843132,473.488049153885,-13.767853773053758,-688.0777615487066,0
-280.66648849837645,1249.762596700287,357.90717276699735,28.71152434533957,-687.9241333240064,0
-207.26832399595594,1021.8551084559095,621.2443315543953,739.1776699268233,-687.9492105195146,0
-262.57668294991043,1216.7021512873744,335.6727922765335,52.03246782648171,-687.8647069844247,0
-261.92330302776816,-342.18308265129417,636.7468555671926,41.09513189911212,-687.9849678168328,0
-233.84883330978485,823.6502342541424,571.4572986701872,-601.4608108176869,-688.0352860990783,0
-198.0053049384344,892.7399243721324,-372.764427372298,-226.3136851612652,-688.0390973191804,0
-247.06233264175023,698.8062814860759,134.39673240457262,198.87213234908918,-687.9259565640748,0
-260.68241401391106,632.2505699029313,253.23877345286928,331.540095883749,-687.9632870079811,0
-222.00075297725627,362.89727963383757,76.31983064433973,502.6936066950083,-688.0244187155304,0
-198.75694673390325,1559.5882683846007,1160.1507603687587,-150.5202085765979,-687.9568021497333,0
-269.5169698470691,1333.8126792583648,1317.2903604620376,542.3689689058989,-687.9620154697212,0
-264.6967437831078,1205.4430501349914,-147.4488847148407,409.159989391994,-688.0331033820485,0
-227.5316304368607,826.0499559925337,269.8556841345039,-152.4443847072447,-687.9901701767461,0
-229.95982780791414,1390.3443159316225,727.2119642901569,736.0274487390734,-687.7673338759481,0
-263.1496537409443,805.006284318055,-256.03284021908576,667.63267326916,-687.8627322353116,1
-283.60203924236026,1190.714658384754,1072.5232821128627,286.6967372940385,-687.8975126868332,0
-244.3303991675995,331.48712919659465,988.6615797832408,720.7097101232852,-687.9062002219819,0
-286.8942559168572,549.596756409941,-101.22614293745255,501.4440830749422,-687.8651182057331,0
-234.9211017710026,1341.9497054000683,30.1673386331247,254.92975888575162,-688.068128895424,0
-280.00776784353457,1312.975222708113,344.1906295259059,675.0009477321777,-687.9213237987431,0
-147.86084698644692,945.3457706575763,-239.21474996796132,183.6783794880557,-688.036821903903,0
-214.09036834307778,921.0909245522164,395.3519750739024,148.28692253348333,-687.9057508606461,0
-267.9728229432043,1265.3774416714405,986.7734677959664,62.17718730233014,-688.0339771873355,0
-270.2531520148747,1234.024320433687,510.2273193983585,446.18515995580105,-687.8270633899242,1
-242.21523945144565,522.5447418410054,992.6996380539961,217.60357786331144,-687.8955854511524,0
-210.7353068417741,452.2555021094266,1154.9901857087789,554.823752932028,-688.0091887641585,0
-239.44523707160448,1021.8975528131602,475.9537908557286,541.7072056488862,-687.8521164317316,0
-250.6443890067267,1524.7769539850206,958.089188874864,289.0697445328297,-687.949162224356,0
-294.3593375163247,198.50982606046296,546.4992826774791,-140.7594552747493,-687.9657690642471,0
-271.07091638141276,63.74586370644727,642.6401545911264,33.58441146797014,-687.956547929432,1
-284.5809899048443,744.6093898204251,1244.1779541892465,248.09228566375515,-687.9204299365173,0
-298.81824407111367,2020.3875836348573,1385.6947627830727,735.8492986874028,-687.8989466606401,0
-250.3490202102182,1108.4839672637925,987.997755620284,-50.95669992865672,-687.9969227102323,0
-313.8284722428992,539.9297085317937,1294.6387489268836,65.29541982390293,-687.9871770175106,0
